"","ctrl1","ctrl2","ctrl3","ctrl4","RA1","RA2","RA3","RA4"
"5S_rRNA",6.007353357,0,0.999998512,0,1.489464466,1.237212064,5.140870627,4.889736875
"A1BG",591.7496412,104.1781255,98.79951059,89.57023544,49.98028224,452.6925187,477.1737484,420.5809348
"A1CF",72.90225779,46.00003226,12.20908726,3.21554113,34.99991695,75.3530675,64.22039099,89.12863746
"A2M",34307.85658,2502.001497,4089.985023,3601.002035,5825.960335,34444.91076,27315.77114,24686.06917
"A2ML1",160.2301198,66.01692778,39.80495801,40.05419472,27.37245189,167.4629337,154.9889933,167.9716688
"A2MP1",170.0004181,14.99999136,7.999989109,0,41.99982218,132.000274,121.9996179,179.9994991
"A3GALT2",1.000000336,0,0,0,0.999997565,3.000005442,0,0
"A4GALT",2198.329109,1126.343271,551.0387048,432.6274657,173.4755234,217.9073255,307.4823194,1008.636324
"A4GNT",29.99998571,0,0,0,4.999985334,38.99987151,3.000002896,8.999985213
"AAAS",912.0007299,166.0000192,63.00009391,121.9998006,3.999992565,180.9999065,329.0005071,35.00000138
"AACS",2539.888484,481.1738059,439.8260424,374.254032,370.2256167,1436.469852,1607.709875,1454.34456
"AACSP1",72.62769978,27.00000372,1.999999888,0,17.99995111,43.80749451,65.30664525,70.65058575
"AADAC",2.000000418,0,0,0,2.999976695,4.000003466,1.000002336,22.00000913
"AADACL2",27.52096427,66.89748982,0,10.00000221,8.20060115,251.998949,78.49947853,114.2568133
"AADACL3",17.00002749,0,0,0,5.999985926,21.00001216,37.00003321,49.99994398
"AADACL4",0,0,0,0,0,0,0,0
"AADACP1",17.00000824,37.99992066,10.99999829,15.99993936,31.99984044,91.00002278,32.00002139,76.99995482
"AADAT",334.9937108,47.99990287,25.20965518,26.00001243,16.15067207,155.4616862,71.47272306,145.3579522
"AAGAB",990.9995758,256.0000365,233.9995265,164.9998693,347.9983532,1455.998468,1814.999719,989.0004483
"AAK1",5102.48987,708.5297726,700.5341862,615.2930478,1655.530902,7872.122334,6117.916118,5543.504485
"AAMDC",524.8156386,169.5842083,160.9399069,60.1050844,65.27260442,432.7066792,559.1609661,541.3532193
"AAMP",1489.999012,411.0001251,266.0004194,306.9998078,37.99985302,264.0000635,36.99997759,418.9997888
"AANAT",45.07372044,16.26454674,0,0,2.999995051,12.00964174,30.00091905,26.03932965
"AAR2",840.9279635,194.2493358,123.3709338,136.4095224,356.9571705,1381.574475,1274.383019,1068.460537
"AARD",71.61522044,36.68646947,22.94625818,18.56145356,2.921968739,32.59564081,39.4403917,52.65317341
"AARS1",3226.016665,705.6097426,561.2945241,572.8643569,279.2424098,2438.671573,1563.004285,2125.433385
"AARS1P1",0,0,0,0,0,0,0,0
"AARS2",1299.486567,325.9399299,122.7188004,100.6287731,75.50966477,416.176267,328.0080695,430.5098468
"AARSD1",441.8512542,183.0461212,117.2315458,132.3174931,16.90731627,89.88919275,110.4855978,78.65910213
"AARSD1P1",288.0001551,37.99994617,11.99998458,2.999994145,37.99977385,158.0000432,92.9999266,274.0010889
"AASDH",630.9997343,38.00003054,67.99988186,29.9999917,57.99980889,881.0002948,1116.000198,797.9992317
"AASDHPPT",566.0000029,75.99987072,141.0000366,156.9999552,249.9992334,478.0000212,1619.000844,807.9994499
"AASS",2584.957956,398.0703256,238.8067891,200.789368,461.4892577,3652.073572,3340.727478,4520.084663
"AATF",2099.622847,685.2198653,422.9991921,307.9990302,205.0387244,2009.226148,1799.547553,1710.355826
"AATK",969.6397641,161.1727502,228.9934112,75.55939577,98.17667504,369.5525757,250.4848619,656.9545019
"ABAT",1304.027499,130.3821224,122.7168419,137.9695625,256.0193212,1059.618402,1130.155769,1148.609243
"ABCA1",22135.01067,1345.996296,1064.001499,1097.002532,3058.991423,29483.81651,16340.91432,13680.00359
"ABCA10",1154.466135,111.2010192,73.86930065,116.7405138,147.0378283,215.2828771,194.5450913,2321.147665
"ABCA11P",188.1054808,0.999998619,13.03492652,13.99994255,32.59628898,40.26149511,51.76817452,148.2824764
"ABCA12",7.000000286,27.00002045,1.000003653,8.000015396,1.999988836,68.99995091,49.99987371,7.000012717
"ABCA13",251.5349421,68.64952448,6.153173451,4.148251794,38.43993661,156.6945343,151.7151537,289.4485961
"ABCA17P",73.98537299,0,33.99998498,27.68454976,6.014048431,25.67897923,50.96527561,65.20547787
"ABCA2",5415.78787,790.0010065,311.3450939,393.7249916,86.01824806,667.4927921,191.5215281,504.8969053
"ABCA3",2519.771996,719.0022144,164.0133804,326.0172655,79.01536161,146.3873866,102.2230393,552.2128943
"ABCA4",2.999998851,51.00000789,0.999999031,0,7.999984366,5.000011243,2.000001628,11.99999105
"ABCA5",3358.853213,80.0000957,67.29722181,124.4798067,487.8161302,1337.06577,3327.865366,5940.863546
"ABCA6",5911.3667,453.6680401,625.5123001,463.9927483,764.4097006,8174.134649,7206.887893,8233.951831
"ABCA7",1504.659242,487.6188255,231.8352415,95.40208332,65.06760924,151.3705463,148.4569706,221.5363459
"ABCA8",6020.69023,533.9804737,448.2360061,631.2128474,838.1890661,1755.540671,1259.468276,8746.97808
"ABCA9",2066.509716,320.3203932,307.018403,214.0701233,260.587413,2562.490039,1714.188323,4438.495383
"ABCB1",227.8956599,7.999998233,28.99999348,5.999991747,38.99992981,404.4889821,564.9955315,654.9995351
"ABCB10",763.7965867,123.0001012,103.0000885,112.9999601,239.9517829,808.5436061,1047.902219,546.9705743
"ABCB10P1",0,0,0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0.078193895,0,0,0
"ABCB10P4",0,0,0,0,7.21e-07,0,0,0
"ABCB11",28.2936775,40.39311318,17.78452543,15.58793454,8.497968914,36.17515073,37.97361152,41.31658128
"ABCB4",176.1049743,65.00018237,53.00018818,39.99990212,21.99991917,423.5109791,947.0040391,146.9999002
"ABCB5",79.78142363,38.71802743,35.16681135,19.76193414,16.14229881,121.9829795,82.36583773,88.1583211
"ABCB6",35.60878318,6.982571397,8.360485877,44.31095672,92.6019927,70.75426985,36.01309546,65.465743
"ABCB7",1102.743854,201.0155354,163.530417,84.21606778,135.6329868,1412.914054,1804.100009,1431.852047
"ABCB8",988.5178165,159.0026188,77.06403955,62.03294205,243.3163579,60.34587571,201.062495,193.374231
"ABCB9",732.1782809,116.8956712,135.8163829,112.5536646,60.04539972,352.683982,436.5935117,380.4921385
"ABCC1",3573.379609,614.6254688,236.3575421,292.5902398,711.4199474,4088.0691,2437.29307,3136.696682
"ABCC10",1531.068738,172.0895932,108.7184316,94.20701911,232.890506,238.6613874,319.3171915,369.2200378
"ABCC11",85.70862297,19.28135613,17.33705362,9.535943402,11.68417752,60.91942147,45.32827034,84.16902277
"ABCC12",37.0000063,14.00004584,0,9.999986699,12.99996358,91.00005123,116.0000677,65.00008846
"ABCC13",66.65150598,90.57237661,0.99999918,5.999990386,20.73210479,94.96558188,64.28325388,128.0064643
"ABCC2",64.43320215,40.99991581,58.24924247,62.00018578,33.01419477,169.7679187,220.7538341,459.2156406
"ABCC3",6430.949557,289.7569075,140.6322951,94.2783546,355.1085277,574.7309319,925.5073285,224.5694942
"ABCC4",939.2860973,60.00013091,91.00017064,105.4899485,336.3499796,1853.351927,2823.402329,2009.047487
"ABCC5",7255.49337,185.0003552,99.99998617,65.00001134,416.104957,3114.395037,1876.821554,1996.436148
"ABCC6",734.5334704,205.9283203,100.9522232,71.95482861,44.53744706,182.2745023,221.7686135,378.108038
"ABCC6P1",0,0,0,3.224426154,6.749581324,5.190279673,0,7.254065805
"ABCC6P2",0,0,1.057361542,6.711130782,2.999991933,0,0.99999893,0
"ABCC8",948.1874298,66.34063117,22.16080776,33.64962486,103.8090064,596.95495,520.0325785,637.464431
"ABCC9",5960.931714,4300.711218,4765.238911,3246.3538,1320.784776,8370.843429,5827.505994,8927.454119
"ABCD1",827.9830349,157.9999813,279.000047,229.9998212,2.999992024,4.999997995,1.999992943,157.0001162
"ABCD1P2",0,0,0,0,0,0.999999451,0,0
"ABCD1P3",0,0,0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0,0,0
"ABCD1P5",1.016811016,0,0,0,0,0,0,0
"ABCD2",115.0000017,39.00001305,6.000020262,22.00000111,183.9994909,254.0001699,748.0001836,1402.999911
"ABCD3",1267.303133,316.9998769,175.0006564,131.0018579,120.9996772,2533.33162,2109.181084,1789.940759
"ABCD4",2848.771021,155.0075143,241.4700459,95.10089945,148.0678243,2626.959959,1501.279223,1346.641424
"ABCE1",1198.780816,218.1487248,275.5537948,293.5041606,612.9898505,2670.534067,3215.551697,1650.852007
"ABCF1",918.3233861,842.6081305,519.4879669,391.7895345,76.75600652,488.4349027,717.0609453,664.0968981
"ABCF2",689.3538608,97.16810831,229.8353065,170.6424537,133.1086075,786.4770687,407.706633,559.1595935
"ABCF2-H2BE1",121.5831658,33.85955007,20.61646625,16.31641507,17.57759878,78.98584014,558.1680151,52.00738292
"ABCF2P1",0,0,0,0,0,1.999999171,2.005313964,0
"ABCF2P2",0,0,0,0,0,0,0,0
"ABCF3",1191.019416,202.0001933,168.0000809,202.926447,77.25116829,153.1522195,120.3415303,223.0001388
"ABCG1",3006.670793,449.2542438,193.8048174,329.9035346,373.6410793,2606.520472,2210.665648,1809.619114
"ABCG2",53.77777037,12.00003488,17.00002042,17.01323687,38.01868139,171.0114996,177.1595811,118.3536249
"ABCG4",0,0,0,0,0,7.000004159,9.000007373,11.00000052
"ABCG5",56.34885714,0,18.99999727,5.999998883,11.99993828,58.61409752,33.14328793,47.63901628
"ABCG8",521.4554439,178.4813539,38.38889016,36.20774814,57.68602404,390.5532242,378.3807348,377.9287559
"ABHD1",88.78799512,39.97132638,57.98528194,29.15540148,10.98626372,40.28630585,42.3931498,117.699943
"ABHD10",752.0008297,71.99988743,112.9999463,138.999938,123.9995789,757.0013889,1205.002676,613.9998154
"ABHD11",335.2948276,73.30613151,113.575268,21.55691684,78.14799115,128.7807,117.3242861,188.538626
"ABHD11-AS1",37.00005128,0,9.999995535,3.000008673,4.99998638,1.000002281,0.999998944,0
"ABHD12",2373.040759,239.6417834,224.1082888,184.9997645,355.3904266,1595.324689,1347.751889,750.3829721
"ABHD12B",544.1568819,103.2790986,57.69404387,27.46800763,91.68403528,448.543633,385.57602,509.7624039
"ABHD13",1096.996354,38.00004033,133.9999377,92.00009381,315.9993118,1560.995178,1400.997543,1471.005544
"ABHD14A",178.952887,38.95866093,90.86454889,66.04213678,37.48736044,75.70763246,55.01134541,63.10508949
"ABHD14A-ACY1",151.4997566,0,0,0,0,2.470527463,18.65596586,41.45446796
"ABHD14B",524.0000891,251.0005804,260.0003947,137.9998401,15.99994024,190.0000844,184.0004796,87.99981614
"ABHD15",619.5372093,326.7188927,213.8287563,162.634828,6.018714569,442.276721,81.23837643,25.50467937
"ABHD16A",164.0001125,101.0000169,77.00002502,90.99992706,136.9997459,74.99995358,89.00004241,86.00000938
"ABHD16B",198.9999816,47.99995138,21.99999936,6.999989412,6.999966498,23.00002423,6.000023379,30.00001022
